Bus_No,CloudLocation,FileNameNoPath,PrivateId,CreationDate,ArchivedDate,DeletedAt,State,FileRestored,ReturnToLongTermDate
4597300,b88cab1b-6ce1-4125-b1be-fd112ebb2564,96165892165.wav,2725d239-9b4c-4bf4-b860-50af3eac6702,1565726892165,1566936588949,,6,,1570233600000
4597300,d3ab2492-eaf8-40ef-868b-2aa3d7a531f9,96436440998.wav,03e55431-6528-4d88-ba6c-bb5be706c512,1566923605446,1568133235814,,6,,1569110400000
4597300,f7008ea5-1f7c-4d5a-b233-30a47bd04469,96594838604.wav,2bf9bcc6-8831-4d23-bd16-b7dcef28b497,1567619723094,1568829357117,,6,,1570147200000
4597300,1bcb933d-d62d-44b3-b66b-c8bf90669350,4916900750.wav.previous,88cfe12b-bee5-4905-9ac2-e4988782eb82,1539975079528,1547913292858,,6,,1569628800000
4597300,4b5f39fa-5fe6-480a-9788-7ba8e14025d1,5067489974.wav,3b8ad0f1-5295-4b53-bd61-f2325811672f,1555345306427,1557937350644,,6,,1569628800000
4597300,b3b1ef9f-a7ba-4dfd-bebc-d82137a85157,95900122353.wav,bcf25f9e-7ece-4ded-9630-f8c8a8ec29c2,1564589876258,1565799589538,,6,,1569542400000
4597300,766a61f4-3dde-478b-87fc-361bdd9ebb49,96103907482.wav,b53512af-2161-44f7-add9-a5dffa130f11,1565399943215,1566609588196,,6,,1570233600000
4597300,3a3f3b7a-72af-4467-8751-3d039f138741,4995187819.wav,7f68f294-48c3-4af3-87d3-8bd9b8885388,1547656645178,1550248714983,,6,,1570406400000
4597300,84a9bfe7-017c-4fbe-a830-b3e69b56b681,95665219957.wav,ce1e7ef8-e2e6-47cf-b923-953fbf367cdd,1563538388082,1564748024756,,6,,1569542400000
4597300,4324e9e1-ead4-4e06-b023-959482540d00,5005806988.wav,c6170ba6-0b6e-4255-881e-eb5818d64afd,1548775774132,1551367837256,,6,,1570233600000
4597300,e5d2e407-52b3-4a16-b4c1-019fe57143b0,95926769728.wav,33156f3e-7f6f-484f-884c-5690677b5d04,1564685979964,1565895710141,,6,,1570233600000
4597300,b849a585-3da8-45bf-bc3d-4233928a47c6,96635598905.wav,26a7d685-06ab-40d9-abe7-322cf78a9342,1567725146622,1568934834828,,6,,1570320000000
4597300,18a47809-eae8-4d94-b97f-e2e186b10341,96025970777.wav,a278eedf-6eec-4abe-ba1e-51d744686b16,1565127418757,1566337070596,,6,,1569542400000
4597300,8384a38e-2d8d-4d43-abad-2092e25b1fb9,5086958776.wav,2fbe9a65-241c-4c32-9b22-e62af5f1ce1c,1557234213007,1559826273574,,6,,1569196800000
4597300,b14ba849-77ae-49fd-9a21-bdde88792ca7,96617828354.wav,b900f9a6-40e7-45ad-a6ed-01e4b2c18017,1567698813629,1568908559857,,6,,1570060800000
4597300,a53e1318-4ed2-4cb1-a5c2-18ba7640f9d3,95948855646.wav,6b51dc05-ea52-4243-a615-45897fe3a267,1564852282810,1566061906852,,6,,1569024000000
4597300,03582eea-3dff-4456-bb2c-2cfbc01802b3,96589927784.wav,714a594a-81d6-4b42-946f-cd5c00c949f7,1567545094209,1568755078906,,6,,1569628800000
4597300,925366fd-a5da-4571-98e9-020a708c2041,96465783618.wav,480d5b39-57f6-46aa-8946-701b4a077e02,1566934511957,1568144155193,,6,,1569628800000
4597300,be686768-40a6-4e0a-bf32-e5f689534fe6,5086482450.wav,40439514-31cb-4a35-ab45-d6847d9ac2bd,1557176622619,1559787510991,,6,,1570060800000
4597300,5888ba2e-df84-467e-a9b9-836be3c04457,96410508350.wav,33e76320-4835-4e59-bc36-a8c2f033b0c1,1566750064248,1567959711209,,6,,1570233600000
4597300,5e71e46d-90f6-4ac1-8de2-78a207af140d,96218014194.wav,7f678017-d9aa-4382-a808-dbe1c435d63c,1565890016312,1567099671167,,6,,1569628800000
4597300,1c81a1c7-ca8e-46d8-b6ae-a0c0323574a7,4994679782.wav,f97d3868-47cd-4d60-bf05-9ee7f55ca6c5,1547593470722,1550185595562,,6,,1569628800000
4597300,14653d0b-e45c-40c9-b3b8-07e530dac661,95949037845.wav,0203a1cc-9bff-4ed8-a828-55357a067144,1564865188948,1566074868266,,6,,1570233600000
4597300,c13bfa69-65ff-488e-9ce9-7cd6329d9478,96465977374.wav,05a357d6-8949-47c7-b975-aaac442500a4,1566940755166,1568150392887,,6,,1569456000000
4597300,58ff3927-6e1a-4bfd-9887-7c004850f394,96410866185.wav,304d012a-740c-4ed4-bfa4-c37802c8f361,1566825015202,1568034709944,,6,,1569196800000
4597300,d91b540b-304c-431d-9003-47dec6c2d150,96410549967.wav,24062623-b651-4849-b340-b1f311e40c35,1566756146687,1567965831535,,6,,1570233600000
4597300,2d7d55c4-7ea9-44cc-bdc9-5b599a5004df,96507972426.wav,fbeb9a39-6dab-4f61-88fa-f10015a3c179,1567172252833,1568381998114,,6,,1569628800000
4597300,c7586aa3-a3c0-4621-bb07-bd177817113c,96136238091.wav,8ce831d2-917b-4ee0-8f66-03c82b91c9f2,1565627021390,1566836754329,,6,,1569715200000
4597300,6bb263c4-a556-4f5f-8fe9-755aeb43bb05,96026135869.wav,aa642ef6-fa7c-4b32-83f3-dee06c6d7015,1565136059705,1566345709750,,6,,1569542400000
4597300,a8a74992-dd4a-49aa-a6f7-bc246317dda4,5060605709.wav,f3e1e6e0-8da7-4cad-a60b-0dad9ca3a68b,1554506976761,1557099030903,,6,,1570147200000
4597300,f3c0365d-46e2-4784-b310-8b0960579b59,95915186980.wav,dcedf681-2893-46e0-a71d-cdf97ef2a450,1564666928099,1565876632529,,6,,1570233600000
4597300,6733efb4-cafd-4719-a0b1-b7c93be0be42,96078528222.wav,1426a17b-da93-49b9-9095-6c006b9a2bc4,1565301277500,1566510950975,,6,,1569542400000
4597300,7517cd8e-b6f0-4de2-8d02-ea6a6ac7e0d0,4960452172.wav,e63da04c-2c7d-494a-83af-d91139b8b809,1544131567817,1549143408474,,6,,1570406400000
4597300,cc162636-5107-4141-aa6b-875987d41af4,96636381230.wav,46b6245f-4b78-4850-8c18-ff805c7bf66d,1567793242972,1569002879758,,6,,1570233600000
4597300,edf3dcb6-c8cc-48b4-92af-a4448635769c,95820276175.wav,503745d5-b1f8-4eb2-89c1-96f7a2c7615c,1564232031910,1565441745638,,6,,1570233600000
4597300,a7c2ca4c-6cd7-4b6b-87b6-030641cec94f,96318937694.wav,ea132e87-7ea7-4204-a0e3-4db90cbcc58a,1566413038757,1567622756227,,6,,1570233600000
4597300,b94ae1de-b2db-4a80-a945-e3bcd136fb7d,96411180292.wav,d1fdf7be-8d3c-4ffa-9111-f7fc4e83c920,1566837538633,1568047196051,,6,,1569628800000
4597300,7fdd7f4d-e6ea-4bea-9aac-e79c4cda87e4,95757756763.wav,fab4e621-4c29-4329-82d8-f69ae1d52a62,1563974110431,1565183746530,,6,,1569715200000
4597300,2d9f4509-ad99-409b-ac60-8934ebd57a20,96680258169.wav,1e4a2d36-8a88-4453-b580-51683e2875ee,1568042416510,1569252056202,,6,,1570147200000
4597300,51a8b0f9-f856-4ecb-a469-394d2b63e029,5138696527.wav,0e3ec694-fd64-4d9d-854e-2368e64bfbdf,1564776527802,1565986191328,,6,,1570060800000
4597300,78e1a644-5cf5-4d1b-8019-e3be10b6f67b,96589619385.wav,7289a097-d2c2-4eab-9d25-768273178230,1567534303796,1568744280511,,6,,1569628800000
4597300,5c43caa2-ceb4-4903-8ffc-035c60f1c62b,5134993717.wav,09e82b01-3f50-454e-89b4-d59f2de6a6f0,1551973126403,1554565245127,,6,,1570060800000
